robot_id	slug	producent	felt	kolonne	dansk_tekst	bedoemmelse	handling
2231	unitree-a1	Unitree Robotics	power_output	value_text	5 V; 12 V; 19 V ud (24 V ind)	dansk	rapporteret (value_text, ikke min kolonne)
2232	unitree-a2	Unitree Robotics	cameras	value_text	HD-kamera x1	dansk	rapporteret (value_text, ikke min kolonne)
2232	unitree-a2	Unitree Robotics	compute	value_text	8-kernet CPU + Intel Core i7; tilvalg udvidelsesdok	dansk	rapporteret (value_text, ikke min kolonne)
2233	unitree-a2-w	Unitree Robotics	cameras	value_text	HD-kamera x1	dansk	rapporteret (value_text, ikke min kolonne)
2233	unitree-a2-w	Unitree Robotics	compute	value_text	8-kernet CPU + Intel Core i7; tilvalg udvidelsesdok	dansk	rapporteret (value_text, ikke min kolonne)
2235	unitree-as2	Unitree Robotics	cameras	value_text	HD-kamera	dansk	rapporteret (value_text, ikke min kolonne)
2235	unitree-as2	Unitree Robotics	compute	value_text	8-kernet CPU	dansk	rapporteret (value_text, ikke min kolonne)
2236	unitree-as2-w	Unitree Robotics	cameras	value_text	HD-kamera	dansk	rapporteret (value_text, ikke min kolonne)
2236	unitree-as2-w	Unitree Robotics	compute	value_text	8-kernet CPU	dansk	rapporteret (value_text, ikke min kolonne)
2238	unitree-b2	Unitree Robotics	cameras	value_text	dybdekamera x2 + optisk kamera x2	dansk	rapporteret (value_text, ikke min kolonne)
2239	unitree-b2-w	Unitree Robotics	compute	value_text	Intel Core i5 / i7; tilvalg i7 eller NVIDIA Orin NX	dansk	rapporteret (value_text, ikke min kolonne)
2241	unitree-go2	Unitree Robotics	cameras	value_text	HD vidvinkel	dansk	rapporteret (value_text, ikke min kolonne)
2241	unitree-go2	Unitree Robotics	compute	value_text	8-kernet CPU	dansk	rapporteret (value_text, ikke min kolonne)
2242	unitree-go2-w	Unitree Robotics	cameras	value_text	HD vidvinkel	dansk	rapporteret (value_text, ikke min kolonne)
2242	unitree-go2-w	Unitree Robotics	compute	value_text	8-kernet CPU; udvidelsesmodul NVIDIA Orin NX m.fl.	dansk	rapporteret (value_text, ikke min kolonne)
2191	deep-robotics-lynx-m20	DEEP Robotics	cameras	value_text	vidvinkelkameraer x2	dansk	rapporteret (value_text, ikke min kolonne)
2191	deep-robotics-lynx-m20	DEEP Robotics	compute	value_text	2x otte-kernet 64-bit (16 GB + 128 GB)	dansk	rapporteret (value_text, ikke min kolonne)
2192	deep-robotics-lynx-m20-pro	DEEP Robotics	cameras	value_text	vidvinkelkameraer x2	dansk	rapporteret (value_text, ikke min kolonne)
2192	deep-robotics-lynx-m20-pro	DEEP Robotics	compute	value_text	3x otte-kernet 64-bit (16 GB + 128 GB)	dansk	rapporteret (value_text, ikke min kolonne)
2193	deep-robotics-lynx-m20s	DEEP Robotics	cameras	value_text	vidvinkelkameraer x2	dansk	rapporteret (value_text, ikke min kolonne)
2193	deep-robotics-lynx-m20s	DEEP Robotics	compute	value_text	3x otte-kernet 64-bit (16 GB + 128 GB)	dansk	rapporteret (value_text, ikke min kolonne)
2198	deep-robotics-x30-pro	DEEP Robotics	height	caveat	USIKKER TILDELING - se bredde.	dansk	RETTET -> "UNCERTAIN ASSIGNMENT - see width." (skrevet, min kolonne)
2183	addverb-trakr-5	Addverb	lidar	value_text	3D LiDAR (type og model ikke oplyst)	dansk	rapporteret (value_text, ikke min kolonne)
2219	magiclab-magicdog-edu	MagicLab	compute	value_text	8-kernet CPU	dansk	rapporteret (value_text, ikke min kolonne)
2220	magiclab-magicdog-pro	MagicLab	compute	value_text	8-kernet CPU	dansk	rapporteret (value_text, ikke min kolonne)
2222	magiclab-magicdog-y1	MagicLab	cameras	value_text	dybdekameraer x2 + optiske kameraer x2	dansk	rapporteret (value_text, ikke min kolonne)
2253	yobotics-y20	Shandong Youbaote Intelligent Robot	docking_station	caveat	Ladestander, tilvalg.	dansk	RETTET -> "Charging stand, optional." (skrevet, min kolonne)
2253	yobotics-y20	Shandong Youbaote Intelligent Robot	compute	value_text	Upboard x1: Intel Atom x5-Z8350, op til 1,92 GHz	dansk	rapporteret (value_text, ikke min kolonne)
2226	pudu-d5	Pudu Robotics	compute	value_text	NVIDIA Jetson Orin AGX 64GB + RK3588, op til 275 TOPS	dansk	rapporteret (value_text, ikke min kolonne)
2227	pudu-d5-w	Pudu Robotics	compute	value_text	NVIDIA Jetson Orin AGX 64GB + RK3588, op til 275 TOPS	dansk	rapporteret (value_text, ikke min kolonne)
2244	weilan-alphadog-c500	WEILAN	compute	value_text	ARM 64-bit CPU; 32 GB lager	dansk	rapporteret (value_text, ikke min kolonne)
2245	weilan-alphadog-c501	WEILAN	autonomy_level	value_text	ja	dansk	rapporteret (value_text, ikke min kolonne)
2245	weilan-alphadog-c501	WEILAN	compute	value_text	ARM 64-bit CPU; 32 GB lager	dansk	rapporteret (value_text, ikke min kolonne)
2251	yobotics-e-dog	Shandong Youbaote Intelligent Robot	weight	caveat	15 kg +/- 0,5 kg.	tvivl	ikke rettet - kun decimalkomma (europaeisk format), ingen danske ord; formateringsspoergsmaal, ikke sprogspoergsmaal
