FASE2-TJEK --dansk --producent="DEEP Robotics"
KOLONNE                       I ALT   DANSK  (æøå-alene, kontroltal — dansk SKAL vaere >= denne)
caveat                           77      75  (60)
  DEEP Robotics                  77      75  (60)
caveat_wording                    0       0  (0)
applications.note                 9       9  (6)
  DEEP Robotics                   9       9  (6)
applications.note_wording         2       2  (1)
  DEEP Robotics                   2       2  (1)
applications.quote                8       1  (0)
  DEEP Robotics                   8       1  (0)
applications.quote_wording        1       1  (0)
  DEEP Robotics                   1       1  (0)
images.note                       6       6  (6)
  DEEP Robotics                   6       6  (6)
images.alt                        8       0  (0)
robots.notes                     16      16  (15)
  DEEP Robotics                  16      16  (15)
robots.notes_wording              0       0  (0)
