SKRIVER (--skriv) 100 post(er)
collected_by = "spor/f2-deep"
  skrevet: field_entries {"robot_id":2190,"field_name":"weight"}
  skrevet: field_entries {"robot_id":2190,"field_name":"height"}
  skrevet: field_entries {"robot_id":2190,"field_name":"payload_walking"}
  skrevet: field_entries {"robot_id":2190,"field_name":"slope"}
  skrevet: field_entries {"robot_id":2190,"field_name":"stair_step_continuous"}
  skrevet: field_entries {"robot_id":2190,"field_name":"runtime"}
  skrevet: field_entries {"robot_id":2190,"field_name":"autonomy_level"}
  skrevet: field_entries {"robot_id":2190,"field_name":"power_output"}
  skrevet: field_entries {"robot_id":2190,"field_name":"data_ports"}
  skrevet: field_entries {"robot_id":2191,"field_name":"payload_walking"}
  skrevet: field_entries {"robot_id":2191,"field_name":"payload_standing"}
  skrevet: field_entries {"robot_id":2191,"field_name":"speed"}
  skrevet: field_entries {"robot_id":2191,"field_name":"slope"}
  skrevet: field_entries {"robot_id":2191,"field_name":"obstacle_single"}
  skrevet: field_entries {"robot_id":2191,"field_name":"stair_step_continuous"}
  skrevet: field_entries {"robot_id":2191,"field_name":"runtime"}
  skrevet: field_entries {"robot_id":2191,"field_name":"hot_swap"}
  skrevet: field_entries {"robot_id":2191,"field_name":"docking_station"}
  skrevet: field_entries {"robot_id":2191,"field_name":"lidar"}
  skrevet: field_entries {"robot_id":2191,"field_name":"compute"}
  skrevet: field_entries {"robot_id":2191,"field_name":"autonomy_level"}
  skrevet: field_entries {"robot_id":2191,"field_name":"power_output"}
  skrevet: field_entries {"robot_id":2192,"field_name":"payload_walking"}
  skrevet: field_entries {"robot_id":2192,"field_name":"payload_standing"}
  skrevet: field_entries {"robot_id":2192,"field_name":"speed"}
  skrevet: field_entries {"robot_id":2192,"field_name":"slope"}
  skrevet: field_entries {"robot_id":2192,"field_name":"obstacle_single"}
  skrevet: field_entries {"robot_id":2192,"field_name":"stair_step_continuous"}
  skrevet: field_entries {"robot_id":2192,"field_name":"runtime"}
  skrevet: field_entries {"robot_id":2192,"field_name":"hot_swap"}
  skrevet: field_entries {"robot_id":2192,"field_name":"docking_station"}
  skrevet: field_entries {"robot_id":2192,"field_name":"lidar"}
  skrevet: field_entries {"robot_id":2192,"field_name":"compute"}
  skrevet: field_entries {"robot_id":2192,"field_name":"autonomy_level"}
  skrevet: field_entries {"robot_id":2192,"field_name":"power_output"}
  skrevet: field_entries {"robot_id":2193,"field_name":"payload_standing"}
  skrevet: field_entries {"robot_id":2193,"field_name":"speed"}
  skrevet: field_entries {"robot_id":2193,"field_name":"slope"}
  skrevet: field_entries {"robot_id":2193,"field_name":"obstacle_single"}
  skrevet: field_entries {"robot_id":2193,"field_name":"stair_step_continuous"}
  skrevet: field_entries {"robot_id":2193,"field_name":"runtime"}
  skrevet: field_entries {"robot_id":2193,"field_name":"hot_swap"}
  skrevet: field_entries {"robot_id":2193,"field_name":"docking_station"}
  skrevet: field_entries {"robot_id":2193,"field_name":"lidar"}
  skrevet: field_entries {"robot_id":2193,"field_name":"autonomy_level"}
  skrevet: field_entries {"robot_id":2193,"field_name":"payload_walking"}
  skrevet: field_entries {"robot_id":2194,"field_name":"weight"}
  skrevet: field_entries {"robot_id":2194,"field_name":"speed"}
  skrevet: field_entries {"robot_id":2194,"field_name":"obstacle_single"}
  skrevet: field_entries {"robot_id":2194,"field_name":"autonomy_level"}
  skrevet: field_entries {"robot_id":2195,"field_name":"payload_walking"}
  skrevet: field_entries {"robot_id":2195,"field_name":"speed"}
  skrevet: field_entries {"robot_id":2195,"field_name":"slope"}
  skrevet: field_entries {"robot_id":2195,"field_name":"battery_wh"}
  skrevet: field_entries {"robot_id":2195,"field_name":"runtime"}
  skrevet: field_entries {"robot_id":2195,"field_name":"compute"}
  skrevet: field_entries {"robot_id":2195,"field_name":"data_ports"}
  skrevet: field_entries {"robot_id":2196,"field_name":"payload_walking"}
  skrevet: field_entries {"robot_id":2196,"field_name":"speed"}
  skrevet: field_entries {"robot_id":2196,"field_name":"slope"}
  skrevet: field_entries {"robot_id":2196,"field_name":"stair_step_continuous"}
  skrevet: field_entries {"robot_id":2196,"field_name":"runtime"}
  skrevet: field_entries {"robot_id":2196,"field_name":"data_ports"}
  skrevet: field_entries {"robot_id":2197,"field_name":"weight"}
  skrevet: field_entries {"robot_id":2197,"field_name":"width"}
  skrevet: field_entries {"robot_id":2197,"field_name":"height"}
  skrevet: field_entries {"robot_id":2197,"field_name":"slope"}
  skrevet: field_entries {"robot_id":2197,"field_name":"stair_step_continuous"}
  skrevet: field_entries {"robot_id":2197,"field_name":"runtime"}
  skrevet: field_entries {"robot_id":2197,"field_name":"power_output"}
  skrevet: field_entries {"robot_id":2198,"field_name":"weight"}
  skrevet: field_entries {"robot_id":2198,"field_name":"width"}
  skrevet: field_entries {"robot_id":2198,"field_name":"slope"}
  skrevet: field_entries {"robot_id":2198,"field_name":"stair_step_continuous"}
  skrevet: field_entries {"robot_id":2198,"field_name":"runtime"}
  skrevet: field_entries {"robot_id":2198,"field_name":"power_output"}
  skrevet: applications {"robot_id":2190}
  skrevet: applications {"robot_id":2191}
  skrevet: applications {"robot_id":2192}
  skrevet: applications {"robot_id":2193}
  skrevet: applications {"robot_id":2194}
  skrevet: applications {"robot_id":2195}
  skrevet: applications {"robot_id":2196}
  skrevet: applications {"robot_id":2197}
  skrevet: applications {"robot_id":2198}
  skrevet: images {"robot_id":2191}
  skrevet: images {"robot_id":2192}
  skrevet: images {"robot_id":2193}
  skrevet: images {"robot_id":2194}
  skrevet: images {"robot_id":2197}
  skrevet: images {"robot_id":2198}
  skrevet: robots {"id":2190}
  skrevet: robots {"id":2191}
  skrevet: robots {"id":2192}
  skrevet: robots {"id":2193}
  skrevet: robots {"id":2194}
  skrevet: robots {"id":2195}
  skrevet: robots {"id":2196}
  skrevet: robots {"id":2197}
  skrevet: robots {"id":2198}

100 raekker skrevet (field_entries: 76, applications: 9, images: 6, robots: 9)
EXIT:0
