FASE2-TJEK --dansk --producent="MagicLab"
KOLONNE                       I ALT   DANSK  (æøå-alene, kontroltal — dansk SKAL vaere >= denne)
caveat                           53       0  (0)
caveat_wording                    0       0  (0)
applications.note                 4       0  (0)
applications.note_wording         1       0  (0)
applications.quote                5       0  (0)
applications.quote_wording        0       0  (0)
images.note                       0       0  (0)
images.alt                        1       0  (0)
robots.notes                     11       0  (0)
robots.notes_wording              0       0  (0)
