FASE2-TJEK --dansk --producent="MagicLab"
KOLONNE                       I ALT   DANSK  (æøå-alene, kontroltal — dansk SKAL vaere >= denne)
caveat                           53      53  (46)
  MagicLab                       53      53  (46)
caveat_wording                    0       0  (0)
applications.note                 4       4  (3)
  MagicLab                        4       4  (3)
applications.note_wording         1       1  (1)
  MagicLab                        1       1  (1)
applications.quote                5       0  (0)
applications.quote_wording        0       0  (0)
images.note                       0       0  (0)
images.alt                        1       0  (0)
robots.notes                     11      11  (10)
  MagicLab                       11      11  (10)
robots.notes_wording              0       0  (0)
