SKRIVER (--skriv) 61 post(er)
collected_by = "spor/f2-magicpudu"
  skrevet: robots {"id":2219}
  skrevet: applications {"robot_id":2219}
  skrevet: field_entries {"robot_id":2219,"field_name":"weight"}
  skrevet: field_entries {"robot_id":2219,"field_name":"height"}
  skrevet: field_entries {"robot_id":2219,"field_name":"degrees_of_freedom"}
  skrevet: field_entries {"robot_id":2219,"field_name":"payload_walking"}
  skrevet: field_entries {"robot_id":2219,"field_name":"speed"}
  skrevet: field_entries {"robot_id":2219,"field_name":"obstacle_single"}
  skrevet: field_entries {"robot_id":2219,"field_name":"battery_wh"}
  skrevet: field_entries {"robot_id":2219,"field_name":"runtime"}
  skrevet: field_entries {"robot_id":2219,"field_name":"docking_station"}
  skrevet: field_entries {"robot_id":2219,"field_name":"lidar"}
  skrevet: field_entries {"robot_id":2219,"field_name":"ros2"}
  skrevet: field_entries {"robot_id":2219,"field_name":"sdk_languages"}
  skrevet: field_entries {"robot_id":2219,"field_name":"autonomy_level"}
  skrevet: robots {"id":2220}
  skrevet: applications {"robot_id":2220}
  skrevet: field_entries {"robot_id":2220,"field_name":"weight"}
  skrevet: field_entries {"robot_id":2220,"field_name":"height"}
  skrevet: field_entries {"robot_id":2220,"field_name":"degrees_of_freedom"}
  skrevet: field_entries {"robot_id":2220,"field_name":"payload_walking"}
  skrevet: field_entries {"robot_id":2220,"field_name":"speed"}
  skrevet: field_entries {"robot_id":2220,"field_name":"obstacle_single"}
  skrevet: field_entries {"robot_id":2220,"field_name":"battery_wh"}
  skrevet: field_entries {"robot_id":2220,"field_name":"runtime"}
  skrevet: field_entries {"robot_id":2220,"field_name":"docking_station"}
  skrevet: field_entries {"robot_id":2220,"field_name":"lidar"}
  skrevet: field_entries {"robot_id":2220,"field_name":"ros2"}
  skrevet: field_entries {"robot_id":2220,"field_name":"sdk_languages"}
  skrevet: field_entries {"robot_id":2220,"field_name":"autonomy_level"}
  skrevet: robots {"id":2221}
  skrevet: applications {"robot_id":2221}
  skrevet: field_entries {"robot_id":2221,"field_name":"weight"}
  skrevet: field_entries {"robot_id":2221,"field_name":"height"}
  skrevet: field_entries {"robot_id":2221,"field_name":"degrees_of_freedom"}
  skrevet: field_entries {"robot_id":2221,"field_name":"payload_walking"}
  skrevet: field_entries {"robot_id":2221,"field_name":"speed"}
  skrevet: field_entries {"robot_id":2221,"field_name":"slope"}
  skrevet: field_entries {"robot_id":2221,"field_name":"obstacle_single"}
  skrevet: field_entries {"robot_id":2221,"field_name":"stair_step_continuous"}
  skrevet: field_entries {"robot_id":2221,"field_name":"battery_wh"}
  skrevet: field_entries {"robot_id":2221,"field_name":"runtime"}
  skrevet: field_entries {"robot_id":2221,"field_name":"lidar"}
  skrevet: field_entries {"robot_id":2221,"field_name":"compute"}
  skrevet: field_entries {"robot_id":2221,"field_name":"ros2"}
  skrevet: robots {"id":2222}
  skrevet: applications {"robot_id":2222}
  skrevet: field_entries {"robot_id":2222,"field_name":"weight"}
  skrevet: field_entries {"robot_id":2222,"field_name":"payload_walking"}
  skrevet: field_entries {"robot_id":2222,"field_name":"payload_standing"}
  skrevet: field_entries {"robot_id":2222,"field_name":"speed"}
  skrevet: field_entries {"robot_id":2222,"field_name":"obstacle_single"}
  skrevet: field_entries {"robot_id":2222,"field_name":"temperature_min"}
  skrevet: field_entries {"robot_id":2222,"field_name":"temperature_max"}
  skrevet: field_entries {"robot_id":2222,"field_name":"battery_wh"}
  skrevet: field_entries {"robot_id":2222,"field_name":"runtime"}
  skrevet: field_entries {"robot_id":2222,"field_name":"lidar"}
  skrevet: field_entries {"robot_id":2222,"field_name":"cameras"}
  skrevet: field_entries {"robot_id":2222,"field_name":"ros2"}
  skrevet: field_entries {"robot_id":2222,"field_name":"sdk_languages"}
  skrevet: field_entries {"robot_id":2222,"field_name":"power_output"}

61 raekker skrevet (robots: 4, applications: 4, field_entries: 53)
exit=0
