FASE2-TJEK --dansk --producent="WEILAN"
KOLONNE                       I ALT   DANSK  (æøå-alene, kontroltal — dansk SKAL vaere >= denne)
caveat                           36      36  (24)
  WEILAN                         36      36  (24)
caveat_wording                    0       0  (0)
applications.note                 5       5  (4)
  WEILAN                          5       5  (4)
applications.note_wording         0       0  (0)
applications.quote                3       0  (0)
applications.quote_wording        0       0  (0)
images.note                       0       0  (0)
images.alt                        0       0  (0)
robots.notes                     21      21  (18)
  WEILAN                         21      21  (18)
robots.notes_wording              0       0  (0)
