FASE2-TJEK --dansk --producent="Shandong Youbaote Intelligent Robot"
KOLONNE                       I ALT   DANSK  (æøå-alene, kontroltal — dansk SKAL vaere >= denne)
caveat                           25      21  (17)
  Shandong Youbaote Intelligent Robot     25      21  (17)
caveat_wording                    1       1  (0)
  Shandong Youbaote Intelligent Robot      1       1  (0)
applications.note                 3       3  (3)
  Shandong Youbaote Intelligent Robot      3       3  (3)
applications.note_wording         0       0  (0)
applications.quote                3       0  (0)
applications.quote_wording        0       0  (0)
images.note                       0       0  (0)
images.alt                        0       0  (0)
robots.notes                      8       8  (5)
  Shandong Youbaote Intelligent Robot      8       8  (5)
robots.notes_wording              0       0  (0)
